Link,Title,Intro
/vinfo/us/security/news/cybercrime-and-digital-threats/-facebook-paypal-and-other-prominent-sites-affected-by-the-the-robot-attack," Facebook, PayPal and Other Prominent Sites Affected by the “the  ROBOT Attack” ","A 19-year old flaw can still be leveraged to compromise prominent websites. Three security researchers talk about the updated ""ROBOT attack"". "
/vinfo/us/security/news/cybercrime-and-digital-threats/hbo-twitter-and-facebook-accounts-hacked-by-ourmine,HBO Twitter and Facebook Accounts Hacked by OurMine,"Known for hijacking social media accounts, the self-styled white hat hacking group OurMine took over several HBO Twitter and Facebook accounts which included ""Game of Thrones,"" ""Girls,"" and ""Ballers."""
/vinfo/us/security/news/cybercrime-and-digital-threats/fake-adam-levine-blind-audition-video-spreads-adware-on-facebook,Fake Adam Levine “Blind Audition” Video Spreads Adware on Facebook,Watch what you click: Cybercriminals are using a video of Adam Levine's audition video to trick users into downloading malicious software.
/vinfo/us/security/news/cybercrime-and-digital-threats/facebook-instagram-and-tinder-were-down-what-this-means-for-you,"Facebook, Instagram, and Tinder Were Down: What This Means for You","Facebook, Instagram, Tinder, and other sites were down for about an hour. Facebook is back up now and has sent a brief word  of how a change in infrastructure configuration could have caused the outage."
http://blog.trendmicro.com/trendlabs-security-intelligence/cybercriminals-hitchhike-on-the-news-of-mh17-crash/,"Malaysia Airlines MH17 Crash Becomes Bait on Twitter, Facebook [Blog]","Hours after the fateful crash of Malaysia Airlines 777, suspicious .tk links on Twitter posts led to spyware downloads, while “actual footage“ posts on Facebook pointed to adware."
https://www.securityweek.com/google-facebook-twitter-asked-testify-russia-probe,"Google, Facebook, Twitter Asked to Testify in Russia Probe","The Senate Intelligence Committee has asked top tech companies Google, Facebook and Twitter to testify about Russian interference in US politics, a Senate aide confirmed Wednesday.  [Read More]"
https://www.securityweek.com/facebook-warn-users-state-sponsored-attacks,Facebook to Warn Users of State Sponsored Attacks,"Facebook has announced a new measure meant to improve the security of user accounts, saying that it has begun notifying users on suspected account compromise.  [Read More]"
https://www.securityweek.com/facebook-reveals-details-us-data-requests,Facebook Reveals Details of US Data Requests,"Facebook revealed that it received between 9,000 and 10,000 requests for user data from US authorities in the second half of last year, as it seeks to shield itself from a growing scandal.  [Read More]"
https://www.securityweek.com/facebook-lets-friends-help-unlock-accounts,Facebook Lets Friends Help Unlock Accounts,Facebook on Thursday began letting people locked out of their profiles get back in with the help of friends.  [Read More]
https://www.securityweek.com/prosecutors-say-scam-targeted-facebooks-zuckerberg,Prosecutors Say Scam Targeted Facebook's Zuckerberg,Paul Ceglia was arrested on Friday for using a forged contract with Facebook co-founder Mark Zuckerberg to lay claim to half of the world's leading online social network. Prosecutors said that an investigation revealed that the contract and emails were bogus.  [Read More]
https://www.securityweek.com/study-analyzes-fake-facebook-profiles-vs-real-users,Study Analyzes Fake Facebook Profiles vs. Real Users,"A study from Barracuda Networks, Facebook: Fake Profiles vs. Real Users, Barracuda researchers analyzes a random sampling of 2,884 active Facebook accounts to identify key differences between average real user accounts and fake accounts created by attackers and fraudsters.  [Read More]"
https://www.securityweek.com/facebook-launches-new-anti-phishing-feature,Facebook Launches New Anti-Phishing Feature,Facebook introduces simple new security feature to help users check if the emails they receive are legitimate or part of a phishing campaign  [Read More]
https://www.securityweek.com/facebook-awards-100000-prize-spear-phishing-detection-method,"Facebook Awards $100,000 Prize for Spear-Phishing Detection Method","Facebook awards Internet Defense Prize of $100,000 to researchers who described a novel method for detecting spear-phishing in enterprises  [Read More]"
https://www.securityweek.com/malicious-chrome-extensions-targeting-facebook,Malicious Chrome Extensions Targeting Facebook,Researchers at Kaspersky Labs have found examples of malicious Chrome applications targeting Facebook users in Brazil.  [Read More]
https://www.securityweek.com/zscaler-releases-browser-plug-combat-facebook-likejacking-attacks,Zscaler Releases Browser Plug-In to Combat Facebook Likejacking Attacks,"Zscaler Likejacking Prevention Proactively Identifies and Prevents Malicious Facebook Attacks, Scams and Spam That Leverage ""Like"" Buttons and Other Widgets  [Read More]"
https://www.securityweek.com/lost-door-rat-promoted-facebook-and-googles-blogspot,Lost Door RAT Promoted via Facebook and Google's Blogspot,"While Lost Door is not new malware, it easily customizable and consequently ""can be hard to detect and protect against, posing a challenge to IT administrators.""  [Read More]"
https://www.securityweek.com/spy-banker-malware-delivered-facebook-google-cloud,"Spy Banker Malware Delivered via Facebook, Google Cloud",Spy Banker Trojan targets Brazil via Facebook and Twitter with a downloader hosted on Google’s cloud platform  [Read More]
https://www.securityweek.com/260000-facebook-users-infected-trojan-disguised-flash-update,"260,000 Facebook Users Infected With Trojan Disguised as Flash Update","Facebook malware infected at least 260,000 users. The Trojan is designed to like posts, subscribe to profiles and follow people on Twitter.  [Read More]"
https://www.securityweek.com/facebook-goes-war-against-lecpetex-botnet,Facebook Goes to War Against Lecpetex Botnet,"Facebook's Threat Infrastructure team recently helped take down the Lecpetex botnet, which affected thousands of accounts.  [Read More]"
https://www.securityweek.com/new-im-trojan-spreading-yahoo-messenger-and-facebook,New IM Trojan Spreading Via Yahoo Messenger and Facebook,Security researchers from Bitdefender have warned that a new instant messaging Trojan has infected hundreds of computers all over the world.  [Read More]
https://www.securityweek.com/zeus-variant-targeting-facebook-google-and-yahoo,"Zeus Variant Targeting Facebook, Google, and Yahoo","Researchers at Trusteer have discovered a variant of Zeus with a P2P component that is targeting high profile sites such as Facebook, Google, Hotmail, and Yahoo in order to compromise debit and credit card data.  [Read More]"
https://www.securityweek.com/symantec-sophos-and-trend-micro-ink-security-deals-facebook,"Symantec, Sophos and Trend Micro Ink Security Deals With Facebook","Sophos, Trend Micro and Symantec have inked deals with Facebook, under which the social networking giant will use website reputation services from the vendors to help protect users from malicious links.  [Read More]"
https://www.securityweek.com/facebook-users-targeted-ice-ix-malware-credit-card-grab,Facebook Users Targeted by Ice IX Malware in Credit Card Grab,Researchers at Trusteer have discovered a variant of the Ice IX Trojan being used to trick Facebook users into revealing their credit card information.  [Read More]
https://www.securityweek.com/new-facebook-attack-aims-infect-pcs-dorkbot-worm,New Facebook Attack Aims to Infect PCs with Dorkbot Worm,A new Facebook attack appears to be infecting users with the Dorkbot worm through the social network’s chat system.  [Read More]
https://www.securityweek.com/facebook-adds-malicious-link-protection-powered-websense,Facebook Adds Malicious Link Protection Powered by Websense,"In a move to further protect users of the world’s largest social networking site, Facebook is partnering with content security vendor Websense to help protect users from links that lead to malware and malicious sites.  [Read More]"
https://www.securityweek.com/facebook-launches-certificate-transparency-monitoring-tool,Facebook Launches Certificate Transparency Monitoring Tool,Facebook launches free Certificate Transparency Monitoring tool that allows users to obtain information on certificates issued for a specified domain  [Read More]
https://www.securityweek.com/after-german-attacks-facebook-insists-it-works-probes,"After German Attacks, Facebook Insists it Works With Probes",Facebook dismissed complaints by German officials that it had not been helpful in fighting terrorism and urged authorities to better formulate their requests.  [Read More]
